1.001,4.6400382,0.66548246,0.66548246,4.1839783,1002.3508,1.5987262
1.002,4.2717312,0.57446446,0.57446446,3.8186464,502.21502,1.5956267
1.003,4.0567653,0.52168479,0.52168479,3.6063798,335.46776,1.5928696
1.004,3.9045589,0.48453227,0.48453227,3.4566947,252.07729,1.5903331
1.005,3.7867299,0.45592759,0.45592759,3.3412552,202.03304,1.5879593
1.006,3.6906381,0.43272029,0.43272029,3.2474484,168.66361,1.5857144
1.007,3.6095421,0.41323132,0.41323132,3.1685508,144.82361,1.5835759
1.008,3.5394185,0.3964593,0.3964593,3.1005519,126.94012,1.5815278
1.009,3.4776726,0.3817589,0.3817589,3.0408663,113.02802,1.5795585
1.01,3.422533,0.36868987,0.36868987,2.9877302,101.89617,1.5776585
1.011,3.3727363,0.35693847,0.35693847,2.9398861,92.786537,1.5758207
1.012,3.3273501,0.34627325,0.34627325,2.8964063,85.193708,1.574039
1.013,3.2856662,0.33651859,0.33651859,2.8565866,78.76777,1.5723085
1.014,3.2471342,0.32753811,0.32753811,2.8198802,73.258766,1.5706249
1.015,3.2113181,0.31922376,0.31922376,2.7858537,68.483383,1.5689847
1.016,3.1778661,0.31148855,0.31148855,2.7541581,64.304125,1.5673848
1.017,3.1464909,0.30426136,0.30426136,2.7245079,60.615843,1.5658223
1.018,3.1169541,0.29748333,0.29748333,2.6966671,57.336748,1.564295
1.019,3.0890565,0.29110522,0.29110522,2.6704378,54.402266,1.5628008
1.02,3.0626292,0.28508539,0.28508539,2.6456529,51.760734,1.5613376
1.021,3.0375284,0.27938832,0.27938832,2.6221698,49.370326,1.5599039
1.022,3.0136301,0.2739835,0.2739835,2.5998659,47.196821,1.5584981
1.023,2.990827,0.2688445,0.2688445,2.578635,45.211944,1.5571188
1.024,2.9690256,0.26394828,0.26394828,2.5583845,43.392134,1.5557647
1.025,2.9481438,0.25927466,0.25927466,2.5390334,41.717597,1.5544346
1.026,2.9281091,0.25480584,0.25480584,2.52051,40.171584,1.5531275
1.027,2.9088574,0.25052604,0.25052604,2.5027509,38.739825,1.5518425
1.028,2.8903314,0.24642123,0.24642123,2.4856997,37.410088,1.5505785
1.029,2.8724799,0.24247887,0.24247887,2.4693058,36.17183,1.5493348
1.03,2.855257,0.23868768,0.23868768,2.453524,35.015909,1.5481105
1.031,2.8386213,0.23503752,0.23503752,2.4383135,33.934366,1.546905
1.032,2.8225353,0.23151923,0.23151923,2.4236372,32.920233,1.5457175
1.033,2.8069651,0.22812449,0.22812449,2.4094619,31.96739,1.5445474
1.034,2.7918796,0.22484572,0.22484572,2.3957568,31.070432,1.5433941
1.035,2.7772505,0.22167604,0.22167604,2.3824944,30.224576,1.5422571
1.036,2.7630522,0.21860913,0.21860913,2.3696491,29.425567,1.5411358
1.037,2.7492607,0.2156392,0.2156392,2.3571976,28.669611,1.5400297
1.038,2.7358542,0.21276093,0.21276093,2.3451185,27.953313,1.5389383
1.039,2.7228127,0.20996942,0.20996942,2.333392,27.273626,1.5378612
1.04,2.7101176,0.20726014,0.20726014,2.3219998,26.627807,1.536798
1.041,2.6977516,0.20462891,0.20462891,2.3109252,26.013382,1.5357483
1.042,2.6856987,0.20207184,0.20207184,2.3001523,25.42811,1.5347116
1.043,2.6739442,0.19958534,0.19958534,2.2896667,24.869961,1.5336877
1.044,2.6624741,0.19716605,0.19716605,2.2794549,24.337088,1.5326762
1.045,2.6512757,0.19481084,0.19481084,2.2695042,23.827808,1.5316767
1.046,2.640337,0.19251681,0.19251681,2.2598028,23.340584,1.5306889
1.047,2.6296465,0.19028123,0.19028123,2.2503399,22.87401,1.5297126
1.048,2.6191939,0.18810154,0.18810154,2.241105,22.426798,1.5287474
1.049,2.6089693,0.18597537,0.18597537,2.2320885,21.997765,1.5277931
1.05,2.5989633,0.18390045,0.18390045,2.2232813,21.58582,1.5268494
1.051,2.5891672,0.1818747,0.1818747,2.214675,21.189961,1.525916
1.052,2.5795728,0.17989612,0.17989612,2.2062615,20.809261,1.5249928
1.053,2.5701724,0.17796284,0.17796284,2.1980332,20.442863,1.5240795
1.054,2.5609586,0.1760731,0.1760731,2.189983,20.089974,1.5231758
1.055,2.5519246,0.17422524,0.17422524,2.1821042,19.749859,1.5222816
1.056,2.5430638,0.17241769,0.17241769,2.1743903,19.421833,1.5213966
1.057,2.5343699,0.17064895,0.17064895,2.1668355,19.105263,1.5205207
1.058,2.5258373,0.16891762,0.16891762,2.159434,18.799556,1.5196536
1.059,2.5174602,0.16722236,0.16722236,2.1521803,18.504161,1.5187952
1.06,2.5092334,0.1655619,0.1655619,2.1450694,18.218564,1.5179453
1.061,2.5011519,0.16393505,0.16393505,2.1380963,17.942283,1.5171037
1.062,2.493211,0.16234066,0.16234066,2.1312565,17.674869,1.5162702
1.063,2.485406,0.16077763,0.16077763,2.1245455,17.415901,1.5154447
1.064,2.4777327,0.15924494,0.15924494,2.1179591,17.164982,1.5146271
1.065,2.4701869,0.1577416,0.1577416,2.1114933,16.921742,1.5138172
1.066,2.4627647,0.15626666,0.15626666,2.1051443,16.685834,1.5130148
1.067,2.4554623,0.15481924,0.15481924,2.0989085,16.456929,1.5122198
1.068,2.4482762,0.15339847,0.15339847,2.0927824,16.234719,1.5114321
1.069,2.4412028,0.15200353,0.15200353,2.0867627,16.018913,1.5106515
1.07,2.4342391,0.15063364,0.15063364,2.0808461,15.809238,1.5098779
1.071,2.4273817,0.14928806,0.14928806,2.0750297,15.605436,1.5091112
1.072,2.4206276,0.14796607,0.14796607,2.0693106,15.407261,1.5083512
